PGPGRP,CTPPGD,PGPRDC,PGDESC,TOTAV01
4103 ,Majestic Units                ,PIONEER-III-RBK                    ,PIONEER III WOOD FIREPLACE****,.00                      
4103 ,Majestic Units                ,PIONEER-III-REC                    ,PIONEER III WOOD FPLC RECT****,2.00                     
4103 ,Majestic Units                ,QUARTZPLA36IL                      ,"LP 32"" DV FPLC IFT W/BLR&REMOT",4.00                     
4103 ,Majestic Units                ,QUARTZPLA36IN                      ,"NG 32"" DV FPLC IFT W/BLR&REMOT",3.00                     
4103 ,Majestic Units                ,QUARTZ32IFTL                       ,"LP 32"" DV FPLC IFT WIFI CAPAB ",13.00                    
4103 ,Majestic Units                ,QUARTZ32IFTN                       ,"NG 32"" DV FPLC IFT WI-FI CAPAB",4.00                     
4103 ,Majestic Units                ,QUARTZ36IFTL                       ,"LP 36"" DV FPLC IFT WIFI CAPAB ",14.00                    
4103 ,Majestic Units                ,QUARTZ36IFTN                       ,"NG 36"" DV FPLC IFT WIFI CAPABL",15.00                    
4103 ,Majestic Units                ,QUARTZ42IFTL                       ,"LP 42"" DV FPLC IFT WIFI       ",4.00                     
4103 ,Majestic Units                ,QUARTZ42IFTN                       ,"NG 42"" DV FPLC IFT WIFI CAPAB ",3.00                     
4103 ,Majestic Units                ,RB-18-24NI                         ,"NG 24/18""VENTED DUZY BRNR-IPI ",2.00                     
4103 ,Majestic Units                ,RB-18-24PI                         ,"LP 24/18""VENTED DUZY BRNR-IPI ",4.00                     
4103 ,Majestic Units                ,RB-30NI                            ,"NG 30""VENTD DUZY BURNER IPI   ",2.00                     
4103 ,Majestic Units                ,RB-30PI                            ,"LP 30""VENTD DUZY BURNER IPI   ",2.00                     
4103 ,Majestic Units                ,RBV4236IT                          ,B-VENT FIREPLACE              ,.00                      
4103 ,Majestic Units                ,RBV4842IT                          ,"42""OPEN HRTH BVENT NG FPLC/BRK",.00                      
4103 ,Majestic Units                ,RCOR-DV36IN                        ,"NG 36""RT CRNR DV T/R FPLC IPI ",.00                      
